id,character,query,result_rank,video_id,title,channel,duration,url
godie-hvsh,Rider,Rider Fate/stay night Japanese voice lines game,5,hyPw60xozl8,FGO JP - Gudaguda 7 - More Animations and Voice lines from Mr. Blaidd Wolf,Barney Purple,342,https://www.youtube.com/watch?v=hyPw60xozl8
godie-n00b,哆拉A夢,Doraemon Doraemon Japanese voice lines game,1,36U6Q3cP_lU,Doraemon in Japanese with English subtitles | House-Robot gadget! •,Dora-Disub ,308,https://www.youtube.com/watch?v=36U6Q3cP_lU
godie-n00b,哆拉A夢,Doraemon Doraemon Japanese voice lines game,2,nrYa_43Ql6U,Doraemon all characters in real life. #cartoon #doraemon #viralvideo #trending,FactByNafees,87,https://www.youtube.com/watch?v=nrYa_43Ql6U
godie-n00b,哆拉A夢,Doraemon Doraemon Japanese voice lines game,3,R3AWQ_ITprk,FT.  Doraemon - GIGA CHAD EDIT ☠️,GAMING WITH NOBITA,33,https://www.youtube.com/watch?v=R3AWQ_ITprk
godie-n00b,哆拉A夢,Doraemon Doraemon Japanese voice lines game,4,LJxq9WvtT0A,Doraemon Cartoon Flipbook #27 | Nobita Throws Shizuka Flip Book | Flip Book Artist 2022,Flip Book Artist,39,https://www.youtube.com/watch?v=LJxq9WvtT0A
godie-n00b,哆拉A夢,Doraemon Doraemon Japanese voice lines game,5,x-gJI8acWjk,DORAEMON VOICES | First Time EVER | OG Team,The Motor Mouth,3953,https://www.youtube.com/watch?v=x-gJI8acWjk
godie-o00l,傑洛士,Xellos Slayers Japanese voice lines game,1,IAywdBRSs0g,Xellos Voicelines (JP),Elsie Chan,238,https://www.youtube.com/watch?v=IAywdBRSs0g
godie-o00l,傑洛士,Xellos Slayers Japanese voice lines game,2,AB7CU3cwaeY,HERO: XELLOS voicelines | #GuardianTales,Elsie Chan,219,https://www.youtube.com/watch?v=AB7CU3cwaeY
godie-o00l,傑洛士,Xellos Slayers Japanese voice lines game,3,iLf2f0I1dTQ,Tales of the Rays X Slayers Shop Naga (Kawamura Maria) Xellos (Ishida Akira),Alex Risi Chan Gamer,31,https://www.youtube.com/watch?v=iLf2f0I1dTQ
godie-o00l,傑洛士,Xellos Slayers Japanese voice lines game,4,eQ1inuR2oHo,[Slayers SNES] The Death of Xellos (4K version),sunnywithrain,175,https://www.youtube.com/watch?v=eQ1inuR2oHo
godie-o00l,傑洛士,Xellos Slayers Japanese voice lines game,5,TPtqF8-zfDM,Priest Xellos - Story and Skills gameplay | Guardian Tales,Mighty Android world,165,https://www.youtube.com/watch?v=TPtqF8-zfDM
godie-o00x,悟空,Son Goku Dragon Ball Japanese voice lines game,1,rE5QOM4tslM,DRAGON BALL GT FINAL BOUT - Screen Select japanese voices all characters,CYBER-GAMEZ,249,https://www.youtube.com/watch?v=rE5QOM4tslM
godie-o00x,悟空,Son Goku Dragon Ball Japanese voice lines game,2,GRvdTw9GXd8,Dragon Ball Legends - Goku Black (DBL-EVT-70S) Voice (Japanese),ResourceMuseum,5,https://www.youtube.com/watch?v=GRvdTw9GXd8
godie-o00x,悟空,Son Goku Dragon Ball Japanese voice lines game,3,trWbT5axm5U,DBFZ - Base Goku Super Spirit Bomb Voicelines (Japanese),Jet Set Jiro,17,https://www.youtube.com/watch?v=trWbT5axm5U
godie-o00x,悟空,Son Goku Dragon Ball Japanese voice lines game,4,m1g2aFOPPjc,Dragon Ball FighterZ - Goku Voice (Japanese),ResourceMuseum,561,https://www.youtube.com/watch?v=m1g2aFOPPjc
godie-o00x,悟空,Son Goku Dragon Ball Japanese voice lines game,5,KVI5Pdzs7RE,"DBFZ - Goku Black ""The Work of a God"" Level 3 Voicelines (Japanese)",Jet Set Jiro,14,https://www.youtube.com/watch?v=KVI5Pdzs7RE
godie-o02p,初音,Hatsune Miku Vocaloid Japanese voice lines game,1,IUx2eKdEhAo,Project Sekai |「The Intense Voice of Hatsune Miku」[EXPERT] ALL PERFECT!,Sapphirazurite,192,https://www.youtube.com/watch?v=IUx2eKdEhAo
godie-o02p,初音,Hatsune Miku Vocaloid Japanese voice lines game,2,A7KbelltKEM,HoYoHoYoにしてあげる♪ / 初音ミク×銀狼LV.999【崩壊：スターレイル】,Hatsune Miku,114,https://www.youtube.com/watch?v=A7KbelltKEM
godie-o02p,初音,Hatsune Miku Vocaloid Japanese voice lines game,3,WyBI7fJg4ms,[SFM] Hatsune Miku Loves Shopping! (So does V1),Mirabeau Studios,26,https://www.youtube.com/watch?v=WyBI7fJg4ms
godie-o02p,初音,Hatsune Miku Vocaloid Japanese voice lines game,4,vSnKX7kAgIc,[60fps Full風] Magnet マグネット-Hatsune Miku Megurine Luka 初音ミク 巡音ルカ DIVA English lyrics romaji subtitles,googoo888,242,https://www.youtube.com/watch?v=vSnKX7kAgIc
godie-o02p,初音,Hatsune Miku Vocaloid Japanese voice lines game,5,ns7jeST41SM,[60fps Full風] サンドリヨン Cendrillon - Hatsune Miku KAITO 初音ミク カイト Project DIVA English lyrics Romaji PDA,googoo888,279,https://www.youtube.com/watch?v=ns7jeST41SM
godie-ofar,皮卡丘,Pikachu Pokemon Japanese voice lines game,1,mzCpCuBLuX8,Pikachu's Lively Voiced Stickers | Line Sticker Showcase,Nintendo Wire,92,https://www.youtube.com/watch?v=mzCpCuBLuX8
godie-ofar,皮卡丘,Pikachu Pokemon Japanese voice lines game,2,vidMsubS3DE,Pikachus voice actor (english subtitles),soccerking4life,35,https://www.youtube.com/watch?v=vidMsubS3DE
godie-ofar,皮卡丘,Pikachu Pokemon Japanese voice lines game,3,c2HnCM8a0ls,"Detective Pikachu Japanese Dub ""Singing Scene""",Mean Kitty,21,https://www.youtube.com/watch?v=c2HnCM8a0ls
godie-ofar,皮卡丘,Pikachu Pokemon Japanese voice lines game,4,Zx2CBt72Ji8,Pikachu can mimic any Pokemon in existence!,Pokémon Clips,126,https://www.youtube.com/watch?v=Zx2CBt72Ji8
godie-ofar,皮卡丘,Pikachu Pokemon Japanese voice lines game,5,SS5U5I_OquE,Why doesn't Pikachu's voice sound like it used to?,Thomas Game Docs,843,https://www.youtube.com/watch?v=SS5U5I_OquE
godie-u00l,拳四郎,Kenshiro Fist of the North Star Japanese voice lines game,1,PL54fx1JNO8,J-Stars Victory Vs+ - Kenshiro Voice (Japanese),ResourceMuseum,422,https://www.youtube.com/watch?v=PL54fx1JNO8
godie-u00l,拳四郎,Kenshiro Fist of the North Star Japanese voice lines game,2,Mlcoru-WS08,Fist of the North Star LEGENDS ReVIVE - Divine Grace Kenshiro Kasumi Voice (Japanese),ResourceMuseum,43,https://www.youtube.com/watch?v=Mlcoru-WS08
godie-u00l,拳四郎,Kenshiro Fist of the North Star Japanese voice lines game,3,ieCjGI9GjY8,Fist of the North Star LEGENDS ReVIVE - Heart Voice (Japanese),ResourceMuseum,74,https://www.youtube.com/watch?v=ieCjGI9GjY8
godie-u00l,拳四郎,Kenshiro Fist of the North Star Japanese voice lines game,4,S1FqpmodBjo,Fist of the North Star LEGENDS ReVIVE - Lost Paradise Kenshiro Voice (Japanese),ResourceMuseum,46,https://www.youtube.com/watch?v=S1FqpmodBjo
godie-u00l,拳四郎,Kenshiro Fist of the North Star Japanese voice lines game,5,hscrew-1qbU,Fist of the North Star LEGENDS ReVIVE - Yasaka Voice (Japanese),ResourceMuseum,210,https://www.youtube.com/watch?v=hscrew-1qbU
godie-u00n,蒙其.D.魯夫,Monkey D. Luffy One Piece Japanese voice lines game,1,dtXT8Dd-jz8,One Piece Bounty Rush - 2 Years Later Captain Monkey D. Luffy Voice (Japanese),ResourceMuseum,40,https://www.youtube.com/watch?v=dtXT8Dd-jz8
godie-u00n,蒙其.D.魯夫,Monkey D. Luffy One Piece Japanese voice lines game,2,qketp3TRAfo,One Piece Bounty Rush - FILM RED Monkey D. Luffy Voice (Japanese),ResourceMuseum,26,https://www.youtube.com/watch?v=qketp3TRAfo
godie-u00n,蒙其.D.魯夫,Monkey D. Luffy One Piece Japanese voice lines game,3,LeH0-52mYhw,One Piece Bounty Rush - The Four Emperors Monkey D. Luffy Voice (Japanese),ResourceMuseum,53,https://www.youtube.com/watch?v=LeH0-52mYhw
godie-u00n,蒙其.D.魯夫,Monkey D. Luffy One Piece Japanese voice lines game,4,ouxb7q8FBl4,One Piece Bounty Rush - 30 Million Berry Bounty Monkey D. Luffy Voice (Japanese),ResourceMuseum,29,https://www.youtube.com/watch?v=ouxb7q8FBl4
godie-u00n,蒙其.D.魯夫,Monkey D. Luffy One Piece Japanese voice lines game,5,lBXQmpVsaW8,Jump Force - Monkey D. Luffy Voice (Japanese),ResourceMuseum,640,https://www.youtube.com/watch?v=lBXQmpVsaW8
godie-u010,飛影,Hiei Yu Yu Hakusho Japanese voice lines game,1,WtNutT3yGe0,Jump Force - Hiei Voice (Japanese),ResourceMuseum,353,https://www.youtube.com/watch?v=WtNutT3yGe0
godie-u010,飛影,Hiei Yu Yu Hakusho Japanese voice lines game,2,lqLSwIloT8c,J-Stars Victory Vs+ - Hiei Voice (Japanese),ResourceMuseum,498,https://www.youtube.com/watch?v=lqLSwIloT8c
godie-u010,飛影,Hiei Yu Yu Hakusho Japanese voice lines game,3,BkeNsMZ-cFg,"Yu Yu Hakusho, Best Hiei Quote",THE ANIME VOID ,37,https://www.youtube.com/watch?v=BkeNsMZ-cFg
godie-u010,飛影,Hiei Yu Yu Hakusho Japanese voice lines game,4,6jPEGSXCcw0,Hiei’s Dragon of the Darkness Flame 2018 OVA,Macy,15,https://www.youtube.com/watch?v=6jPEGSXCcw0
godie-u010,飛影,Hiei Yu Yu Hakusho Japanese voice lines game,5,xKMiI2UgPpA,Hiei Acting Completely Out of Character (Yuyu Hakusho),Suhalla,55,https://www.youtube.com/watch?v=xKMiI2UgPpA
godie-u01u,索隆,Roronoa Zoro One Piece Japanese voice lines game,1,i5W0B0d5fe0,One Piece Bounty Rush - 2 Years Later Combatant Roronoa Zoro Voice (Japanese),ResourceMuseum,32,https://www.youtube.com/watch?v=i5W0B0d5fe0
godie-u01u,索隆,Roronoa Zoro One Piece Japanese voice lines game,2,bEiiFBzHjds,Jump Force - Roronoa Zoro Voice (Japanese),ResourceMuseum,365,https://www.youtube.com/watch?v=bEiiFBzHjds
godie-u01u,索隆,Roronoa Zoro One Piece Japanese voice lines game,3,T9EGKw8qemk,One Piece Bounty Rush - The Billion-Fold World Trichiliocosm Roronoa Zoro Voice (Japanese),ResourceMuseum,29,https://www.youtube.com/watch?v=T9EGKw8qemk
godie-u01u,索隆,Roronoa Zoro One Piece Japanese voice lines game,4,-R1RjQ-eJqc,One Piece Bounty Rush - Egghead Roronoa Zoro Voice (Japanese),ResourceMuseum,31,https://www.youtube.com/watch?v=-R1RjQ-eJqc
godie-u01u,索隆,Roronoa Zoro One Piece Japanese voice lines game,5,JEQRW1pZ9t0,One Piece Bounty Rush - Raid on Onigashima Roronoa Zoro Voice (Japanese),ResourceMuseum,40,https://www.youtube.com/watch?v=JEQRW1pZ9t0
