championId,verdict,refImage,bands,rawRuns,maxPairwiseDeltaE,foregroundRatio,bboxHeightRatio,framesDropped,hash,duplicateOf,bandHexes,reasons
godie-e00x,DUPLICATE,godie-e00x.png,11,16,100.00,0.9622,1.0000,0,bb2cc7327866a965,godie-e00w,hair=#001616 hatBand=#f0ffff hatBrim=#030f1f face=#ffffff collar=#21303a chestTrim=#f8ca9a top=#000000 waist=#f7a385 pants=#000000 shin=#ffa585 shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3664 種像素顏色收斂成 11 條帶，3653 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash bb2cc7327866a965 與 godie-e00w 相同 —— 圖示重複，強制人工
godie-e00z,DUPLICATE,godie-e00z.png,11,36,100.88,0.9768,1.0000,0,4d3db2f76a6952d0,godie-e00k,hair=#202916 hatBand=#c3c4c3 hatBrim=#1c0000 face=#f6d294 collar=#210000 chestTrim=#fdf1d4 top=#000000 waist=#ffffff pants=#040d00 shin=#f2d6b2 shoe=#000021,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3881 種像素顏色收斂成 11 條帶，3870 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 4d3db2f76a6952d0 與 godie-e00k 相同 —— 圖示重複，強制人工
godie-e012,PASS,godie-e012.png,11,31,92.38,0.9758,1.0000,0,1278c15c0b8145ab,,hair=#233020 hatBand=#c4cccd hatBrim=#201a15 face=#912219 collar=#251e1d chestTrim=#fbfffb top=#323128 waist=#fdf3f3 pants=#011e12 shin=#ffffff shoe=#201e19,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3853 種像素顏色收斂成 11 條帶，3842 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-e015,DUPLICATE,godie-e015.png,11,17,85.13,0.9749,1.0000,0,ce6761f9fa1d750e,godie-e00j,hair=#2c3025 hatBand=#c2cdc7 hatBrim=#574d42 face=#000000 collar=#800000 chestTrim=#974949 top=#c1c1c1 waist=#c1c1c1 pants=#000000 shin=#68635e shoe=#12000f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：2042 種像素顏色收斂成 11 條帶，2031 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash ce6761f9fa1d750e 與 godie-e00j 相同 —— 圖示重複，強制人工
godie-ecen,FAIL,godie-ecen.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-edem,PASS,godie-edem.png,11,21,100.00,0.9788,1.0000,0,e33fe3f97867c48e,,hair=#000000 hatBand=#ffffff hatBrim=#000000 face=#fdfdfd collar=#000000 chestTrim=#ffffff top=#000000 waist=#ffffff pants=#000000 shin=#ffffff shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：2555 種像素顏色收斂成 11 條帶，2544 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-efur,FAIL,godie-efur.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-ekee,FAIL,godie-ekee.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-emfr,PASS,godie-emfr.png,11,37,101.06,0.9790,1.0000,0,418399c407732253,,hair=#392c21 hatBand=#82020f hatBrim=#fcf8dd face=#c01c1d collar=#fff8fb chestTrim=#7d0700 top=#e6eec5 waist=#000000 pants=#ffffd8 shin=#000000 shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3897 種像素顏色收斂成 11 條帶，3886 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-emns,PASS,godie-emns.png,11,33,93.66,0.9768,1.0000,0,5674b05cc744cebb,,hair=#34251c hatBand=#c5d6d5 hatBrim=#354336 face=#b06540 collar=#ffffff chestTrim=#f8bc9e top=#ffffff waist=#f8bc9e pants=#fdfdfd shin=#656a66 shoe=#131609,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3567 種像素顏色收斂成 11 條帶，3556 種中間色被眾數 + ΔE<12 併段吸收（自動修）
